industry,stock_count,used_count,avg_pct_chg,median_pct_chg,max_pct_chg,min_pct_chg
铜,18,18,101.10803617292258,95.6138067256754,349.9419279907085,5.865771812080543
黄金,10,10,88.1754514797148,78.56626104058017,246.4190981432361,31.647940074906373
铅锌,14,14,82.32177680712489,55.84184122513643,207.426597582038,27.45098039215686
玻璃,18,18,78.04034651221868,29.621073537866522,353.32512315270947,-19.226804123711336
小金属,64,58,74.9849052790411,72.00161014475319,203.951367781155,-1.4511447920025888
机械基件,134,122,65.68660998098827,47.4949643444871,217.24924012158056,-11.764705882352937
装修装饰,26,24,61.835025611457475,31.44667097608274,258.08023997000373,-10.34115138592751
船舶,11,11,57.036847293794466,49.66832504145937,129.12988650693572,-12.510566356720206
摩托车,12,12,53.5933497279532,33.936399971848665,296.65404040404036,-28.74280230326296
通信设备,136,124,49.15907675686585,37.6368629058994,244.917864476386,-26.055555555555554
铝,31,29,48.50055049303333,41.68937329700273,142.3505572441743,-6.064209274673005
航空,52,48,46.704772366115456,37.732579695968056,189.0495867768595,-7.419712070874867
化工机械,13,13,46.05281732563227,33.808553971486766,142.82982791586994,-38.15201192250372
轻工机械,7,7,44.95066515409866,44.84629294755876,97.33059548254619,-23.36956521739129
工程机械,38,36,42.811469478237164,39.32002331681726,113.12778747333721,-6.172839506172854
塑料,79,73,41.89556143458554,30.42635658914729,163.79310344827587,-16.629711751662974
专用机械,282,254,41.61047837269333,35.06622462210113,182.24582701062218,-18.54795972443032
纺织,42,38,40.12512554314884,25.656113127085284,157.73430391264787,-17.88856304985338
纺织机械,11,11,40.07337954664183,19.019218025182248,201.13851992409872,-21.30569033965594
电器仪表,106,96,39.6824037226865,32.22317997949273,143.4091729866378,-13.464447806354016
元器件,301,271,39.36515809112793,29.075391180654336,184.15575696542467,-21.361058601134214
橡胶,17,17,38.99641386491271,13.152804642166338,216.38696939782815,-26.86300758589915
汽车配件,255,231,38.89359967224451,28.960314857330278,165.43330087633888,-23.32361516034986
电气设备,341,307,35.25747794560493,29.115226337448558,127.31034482758619,-22.49158249158249
半导体,191,173,34.94936453200861,24.927349047465285,170.79873467773825,-21.6264810289982
农用机械,13,13,33.797822567176055,38.54309165526676,97.15984147952445,-29.722589167767506
商贸代理,17,17,33.38724201304647,31.249999999999993,103.10296191819465,-16.80672268907562
化工原料,256,232,32.56405564120681,25.822197470938658,145.78249336870024,-11.150553351430368
矿物制品,35,33,32.04379991770134,32.864674868189795,117.22424643921828,-17.377450980392148
其他建材,29,27,31.877993689306454,22.977346278317157,193.3877551020408,-16.958598726114655
普钢,26,24,31.538861676473033,22.60864135864136,84.92647058823529,3.5460992907801447
水泥,23,21,31.171693338514824,16.964285714285708,106.91399662731872,-13.698630136986303
化纤,34,32,30.29536279564468,30.22320101889196,96.77419354838709,-28.3450704225352
保险,5,5,30.120836366474073,29.79250541963456,47.35729386892179,14.264188849824208
家居用品,71,65,29.95122601204576,24.64953271028037,230.9612983770287,-31.496589541259862
农药化肥,57,53,29.366485836742722,20.28397565922921,146.75925925925924,-25.853018372703406
环境保护,121,109,29.213150106393737,21.872659176029963,151.65562913907286,-20.62256809338521
机床制造,24,22,28.788781006691114,14.715225687590475,140.64596273291926,-12.004662004662007
电信运营,5,5,27.837182244867517,1.7928286852589792,82.20295767465578,-12.130434782608699
陶瓷,5,5,27.798616884596044,22.461273666092954,66.93057247259439,-3.249630723781385
运输设备,49,45,27.01033980126553,19.218749999999993,107.66378244746602,-14.321608040201001
软件服务,283,255,26.975548906375472,20.418613343300315,128.64385297845374,-21.86177715091678
生物制药,80,72,26.429259319309427,18.719637108574766,138.34586466165413,-30.377794911333854
化学制药,148,134,26.21565510770756,21.412453651022197,105.06401137980086,-12.886597938144329
特种钢,10,10,26.111074933085767,28.920454545454533,47.24999999999999,-6.504065040650412
石油加工,14,14,25.165822468638588,12.771343996676366,90.8670520231214,-12.05211726384366
IT设备,78,72,24.61806357144658,22.409460351613358,154.27135678391957,-26.904024767801854
广告包装,54,50,24.169872591892908,11.970068330362437,127.13414634146343,-22.75132275132275
水运,19,19,24.137527002264566,8.018327605956463,102.19780219780219,-6.761177753544158
公共交通,7,7,24.07796620028875,20.67039106145252,56.268221574344025,-18.263473053892213
农业综合,43,39,23.789014079095757,10.820624546114745,106.6799601196411,-9.49554896142434
多元金融,24,22,22.95015390335855,16.36851696793578,95.45126353790614,-11.306765523632983
服饰,65,59,22.471321928544857,20.938628158844768,103.91517128874388,-22.681883024251068
种植业,19,19,22.14947074027414,9.756097560975602,97.96472184531886,-13.653136531365318
综合类,19,19,22.0430114402337,17.3109243697479,98.67139061116033,-30.549222797927467
供气供热,45,41,21.718421839074413,13.604060913705581,107.39299610894943,-15.581098339719027
石油开采,21,19,21.55172172829886,21.143847487001747,59.71896955503515,-10.070257611241212
医药商业,37,35,20.683950391324114,10.64638783269963,188.21879382889205,-20.076586433260402
钢加工,23,21,20.678974364858203,15.714285714285731,63.60424028268551,-12.680577849117174
空运,8,8,20.215283040640404,17.22148290470416,54.24164524421593,-15.063446582071222
造纸,33,31,20.028981535675644,14.549763033175356,100.68661108386465,-36.268656716417915
焦炭加工,7,7,19.71294478368205,9.604519774011296,99.50495049504951,-11.94486983154671
软饮料,9,9,19.549697520034304,8.062560620756543,68.56264411990777,-22.638248847926263
旅游服务,7,7,19.251015866683506,2.6089369969469822,78.66004962779157,-12.561403508771923
医疗保健,177,161,19.122529408635653,13.501699854298193,112.42977528089885,-25.670910871694414
染料涂料,34,32,18.740330799058764,14.768744080688155,77.3430391264786,-33.218142548596106
家用电器,91,83,18.496677389076932,16.40449438202246,93.25551232166018,-22.11287988422575
互联网,80,72,18.326558746451127,12.110064153969528,90.14925373134328,-23.081645181092693
日用化工,20,18,17.901435679281796,8.99354649103031,88.11023622047246,-36.47090372754089
影视音像,35,33,17.856100532439825,8.604353393085788,114.1104294478528,-36.005625879043606
建筑工程,129,117,17.537800057357952,12.631578947368432,126.7365661861075,-21.12676056338028
批发业,5,5,15.76430870828844,14.597315436241612,40.999999999999986,2.4630541871921316
饲料,23,21,14.953214461406091,14.44099378881987,54.31472081218275,-17.353799314981597
区域地产,45,41,14.827597493449586,9.871244635193133,151.3307984790875,-23.30415754923414
文教休闲,52,48,13.995282410983018,7.938081452932932,82.02995008319466,-32.521186440677965
仓储物流,46,42,13.51641678012593,12.039068831747112,82.84518828451883,-22.240527182866565
机场,5,5,13.303747525225244,3.7091988130563793,46.83195592286502,-1.651155809066359
火力发电,31,29,13.074114096496775,6.3432835820895495,92.78688524590166,-9.671532846715332
园区开发,14,14,12.642785793867079,15.13852198245505,72.15686274509804,-18.283582089552244
乳制品,21,19,12.406980460585155,8.476736775015935,42.32558139534884,-16.366258111031
旅游景点,17,17,11.839114281746738,3.4618632141851866,59.3283582089552,-11.2375533428165
水力发电,22,20,11.714185554116506,9.634367445608383,62.380952380952394,-16.666666666666664
全国地产,26,24,11.289686493603883,2.733118971061092,79.6573875802998,-34.59915611814346
超市连锁,8,8,11.2874815840085,-6.218261413383365,147.0063694267516,-47.324530924252954
汽车服务,10,10,11.247013019866662,6.364030219833713,57.32217573221755,-12.477396021699825
港口,16,16,10.752848877409537,-2.4025004411744826,91.08187134502926,-14.66666666666667
渔业,7,7,10.612308478531245,10.169491525423737,42.3956931359354,-18.66197183098591
房产服务,13,13,10.059928480558067,4.5243619489559235,52.721617418351485,-19.927095990279472
铁路,7,7,9.614866205947772,-2.161100196463643,101.86813186813185,-21.818181818181813
证券,50,46,8.809776523763162,4.734106357457023,40.751173708920184,-12.260536398467432
食品,93,85,7.808149957254912,2.517428350116184,68.85676741130091,-26.959459459459463
银行,42,38,6.147765849079886,6.536675951717734,22.803553800592287,-6.434316353887393
新型电力,29,27,5.086748575133709,-0.06644518272426288,43.62139917695473,-19.62616822429907
中成药,69,63,4.928506968887073,0.5194805194805199,60.84745762711864,-27.09772951628826
其他商业,12,12,4.782971323121523,-10.856587042396022,107.72626931567328,-38.25049701789264
红黄酒,9,9,3.939927626646648,-7.586206896551715,86.64825046040517,-18.741976893453145
汽车整车,22,20,3.893173352193508,2.1147531411484577,37.42365352581898,-20.021019442984763
水务,15,15,3.7623538826134992,0.4390779363337094,31.489841986455996,-24.99999999999999
啤酒,8,8,2.5926667702914266,1.1367428877719243,27.93946449359721,-23.212045169385192
煤炭开采,25,23,0.26401197541558163,-7.785467128027684,100.0,-28.276699029126213
出版业,29,27,-0.6587191559616504,-5.932203389830495,50.96322241681259,-24.919614147909964
百货,35,33,-0.9154389852648714,-5.24271844660195,64.03225806451613,-31.064975009611693
酒店餐饮,9,9,-3.8647150548321005,0.0,23.156899810964077,-37.223974763406936
路桥,19,19,-4.868763928859785,-1.713709677419354,18.982387475538154,-34.91124260355029
白酒,20,18,-17.318918354688204,-21.182584031834732,4.359464627151054,-25.27066929133858
